 #M_ecl   m_max
   45.7856636       8.91250801    
   46.6681557       9.12010670    
   47.5676460       9.12010670    
   48.4844704       9.33254147    
   49.4189682       9.33254147    
   50.3714752       9.54992390    
   51.3423424       9.54992390    
   52.3319206       9.77236938    
   53.3405762       9.77236938    
   54.3686676       9.99999714    
   55.4166107       9.99999714    
   56.4847145       10.2329273    
   57.5734100       10.2329273    
   58.6830902       10.4712820    
   59.8141556       10.4712820    
   60.9670219       10.7151890    
   62.1421089       10.7151890    
   63.3398438       10.9647779    
   64.5606613       11.2201805    
   65.8050156       11.2201805    
   67.0733871       11.4815311    
   68.3661728       11.4815311    
   69.6838684       11.7489710    
   71.0269623       11.7489710    
   72.3959503       12.0226393    
   73.7913208       12.0226393    
   75.2135849       12.3026819    
   76.6632614       12.3026819    
   78.1408768       12.5892544    
   79.6469803       12.5892544    
   81.1821518       12.8824959    
   82.7468643       12.8824959    
   84.3417435       13.1825676    
   85.9673538       13.1825676    
   87.6242981       13.4896288    
   89.3131866       13.8038425    
   91.0346222       13.8038425    
   92.7892303       14.1253748    
   94.5776672       14.1253748    
   96.4005661       14.4543962    
   98.2586594       14.4543962    
   100.152512       14.7910824    
   102.082863       14.7910824    
   104.050423       15.1356106    
   106.055908       15.1356106    
   108.100044       15.4881639    
   110.183578       15.4881639    
   112.307274       15.8489294    
   114.471901       15.8489294    
   116.678314       16.2180977    
   118.927185       16.2180977    
   121.219406       16.5958652    
   123.555809       16.9824333    
   125.937241       16.9824333    
   128.364563       17.3780041    
   130.838684       17.3780041    
   133.360489       17.7827892    
   135.930893       17.7827892    
   138.550842       18.1970024    
   141.221375       18.1970024    
   143.943298       18.6208649    
   146.717682       18.6208649    
   149.545532       19.0545998    
   152.427902       19.0545998    
   155.365814       19.4984398    
   158.360352       19.4984398    
   161.412613       19.9526157    
   164.523712       19.9526157    
   167.694763       20.4173717    
   170.927032       20.8929520    
   174.221497       20.8929520    
   177.579468       21.3796120    
   181.002151       21.3796120    
   184.490814       21.8776054    
   188.046722       21.8776054    
   191.671158       22.3871994    
   195.365463       22.3871994    
   199.130966       22.9086781    
   202.969040       22.9086781    
   206.881210       23.4422894    
   210.868668       23.4422894    
   214.932968       23.9883289    
   219.075623       23.9883289    
   223.298111       24.5470886    
   227.601990       24.5470886    
   231.988831       25.1188622    
   236.460220       25.1188622    
   241.017776       25.7039566    
   245.663193       25.7039566    
   250.398270       26.3026772    
   255.224487       26.9153442    
   260.143707       26.9153442    
   265.157776       27.5422840    
