 #M_ecl   m_max
   220.675110       17.3780041    
   223.735199       17.3780041    
   226.837845       17.7827892    
   229.983398       17.7827892    
   233.172562       18.1970024    
   236.405960       18.1970024    
   239.684326       18.1970024    
   243.008011       18.6208649    
   246.377792       18.6208649    
   249.794434       19.0545998    
   253.258331       19.0545998    
   256.770264       19.0545998    
   260.330872       19.4984398    
   263.941010       19.4984398    
   267.601074       19.9526157    
   271.311890       19.9526157    
   275.074158       19.9526157    
   278.888763       20.4173717    
   282.756073       20.4173717    
   286.677063       20.8929520    
   290.652405       20.8929520    
   294.683014       20.8929520    
   298.769379       21.3796120    
   302.912384       21.3796120    
   307.112854       21.8776054    
   311.371765       21.8776054    
   315.689545       21.8776054    
   320.067200       22.3871994    
   324.505554       22.3871994    
   329.005646       22.9086781    
   333.567932       22.9086781    
   338.193512       22.9086781    
   342.883209       23.4422894    
   347.638153       23.4422894    
   352.458832       23.9883289    
   357.346375       23.9883289    
   362.301880       23.9883289    
   367.325897       24.5470886    
   372.419586       24.5470886    
   377.583923       25.1188622    
   382.820068       25.1188622    
   388.128632       25.1188622    
   393.510773       25.7039566    
   398.967590       25.7039566    
   404.500275       25.7039566    
   410.109467       26.3026772    
   415.796417       26.3026772    
   421.562256       26.9153442    
   427.408264       26.9153442    
   433.335114       26.9153442    
   439.344177       27.5422840    
   445.436523       27.5422840    
   451.613617       28.1838245    
   457.876129       28.1838245    
   464.225494       28.1838245    
   470.662872       28.8403091    
   477.189789       28.8403091    
   483.806976       28.8403091    
   490.515900       29.5120869    
   497.318146       29.5120869    
   504.214417       30.1995106    
   511.206329       30.1995106    
   518.295471       30.1995106    
   525.482666       30.9029465    
   532.769531       30.9029465    
   540.157410       31.6227684    
   547.648071       31.6227684    
   555.242249       31.6227684    
   562.941772       32.3593559    
   570.748047       32.3593559    
   578.662903       32.3593559    
   586.687195       33.1131020    
   594.822815       33.1131020    
   603.071167       33.8844032    
   611.434265       33.8844032    
   619.913025       33.8844032    
   628.509277       34.6736717    
   637.224792       34.6736717    
   646.061523       34.6736717    
   655.020447       35.4813271    
   664.103577       35.4813271    
   673.312683       36.3077888    
   682.649841       36.3077888    
   692.116150       36.3077888    
   701.713684       37.1535072    
   711.444702       37.1535072    
   721.310242       37.1535072    
   731.312622       38.0189209    
   741.453735       38.0189209    
   751.735840       38.0189209    
   762.160095       38.9044952    
   772.728943       38.9044952    
   783.444336       39.8106956    
   794.308777       39.8106956    
   805.323425       39.8106956    
   816.490845       40.7380295    
   827.813049       40.7380295    
   839.292786       40.7380295    
   850.931213       41.6869392    
   862.731018       41.6869392    
   874.694458       41.6869392    
   886.824341       42.6579514    
   899.121887       42.6579514    
   911.589966       42.6579514    
   924.230896       43.6515808    
   937.047729       43.6515808    
   950.041687       44.6683578    
   963.215881       44.6683578    
   976.572754       44.6683578    
   990.115417       45.7088165    
   1003.84528       45.7088165    
   1017.76556       45.7088165    
   1031.87939       46.7735100    
   1046.18848       46.7735100    
   1060.69592       46.7735100    
   1075.40454       47.8630028    
   1090.31775       47.8630028    
   1105.43713       47.8630028    
   1120.76611       48.9778748    
   1136.30774       48.9778748    
   1152.06555       48.9778748    
   1168.04114       50.1187134    
   1184.23840       50.1187134    
   1200.66016       50.1187134    
   1217.31030       51.2861290    
   1234.19067       51.2861290    
   1251.30518       51.2861290    
   1268.65698       52.4807358    
   1286.25012       52.4807358    
   1304.08643       52.4807358    
   1322.17017       53.7031670    
   1340.50464       53.7031670    
   1359.09412       53.7031670    
   1377.94055       54.9540749    
   1397.04846       54.9540749    
   1416.42200       54.9540749    
   1436.06348       56.2341156    
   1455.97729       56.2341156    
   1476.16724       56.2341156    
   1496.63806       57.5439758    
   1517.39185       57.5439758    
   1538.43347       57.5439758    
   1559.76685       58.8843460    
   1581.39697       58.8843460    
   1603.32605       58.8843460    
   1625.55933       60.2559395    
   1648.10095       60.2559395    
   1670.95593       60.2559395    
   1694.12708       60.2559395    
   1717.61938       61.6594772    
   1741.43750       61.6594772    
   1765.58691       61.6594772    
   1790.07031       63.0957108    
   1814.89307       63.0957108    
   1840.06018       63.0957108    
   1865.57715       64.5653992    
   1891.44702       64.5653992    
   1917.67566       64.5653992    
   1944.26807       64.5653992    
   1971.23022       66.0693130    
   1998.56519       66.0693130    
   2026.27917       66.0693130    
   2054.37866       67.6082687    
   2082.86670       67.6082687    
   2111.74951       67.6082687    
   2141.03320       69.1830673    
   2170.72388       69.1830673    
   2200.82520       69.1830673    
   2231.34399       69.1830673    
   2262.28589       70.7945404    
   2293.65820       70.7945404    
   2325.46436       70.7945404    
   2357.71143       72.4435577    
   2390.40576       72.4435577    
   2423.55469       72.4435577    
   2457.16211       72.4435577    
   2491.23535       74.1310272    
   2525.78125       74.1310272    
   2560.80737       74.1310272    
   2596.31812       74.1310272    
   2632.32104       75.8577576    
   2668.82349       75.8577576    
   2705.83325       75.8577576    
   2743.35498       75.8577576    
   2781.39697       77.6247101    
   2819.96655       77.6247101    
   2859.07251       77.6247101    
   2898.71899       79.4328156    
   2938.91553       79.4328156    
   2979.67090       79.4328156    
   3020.98999       79.4328156    
   3062.88184       81.2830429    
   3105.35474       81.2830429    
   3148.41821       81.2830429    
   3192.07715       81.2830429    
   3236.34155       83.1763687    
   3281.21973       83.1763687    
   3326.72217       83.1763687    
   3372.85352       83.1763687    
   3419.62476       85.1137924    
   3467.04468       85.1137924    
   3515.12378       85.1137924    
   3563.86792       85.1137924    
   3613.28809       85.1137924    
   3663.39331       87.0963440    
   3714.19531       87.0963440    
   3765.69995       87.0963440    
   3817.91870       87.0963440    
   3870.86182       89.1250763    
   3924.54102       89.1250763    
   3978.96240       89.1250763    
   4034.13843       89.1250763    
   4090.08203       91.2010651    
   4146.79883       91.2010651    
   4204.30225       91.2010651    
   4262.60303       91.2010651    
   4321.71484       91.2010651    
   4381.64404       93.3254089    
   4442.40381       93.3254089    
   4504.00684       93.3254089    
   4566.46582       93.3254089    
   4629.78906       93.3254089    
   4693.99023       95.4992371    
   4759.08154       95.4992371    
   4825.07812       95.4992371    
   4891.98730       95.4992371    
   4959.82422       95.4992371    
   5028.60205       97.7236938    
   5098.33594       97.7236938    
   5169.03418       97.7236938    
   5240.71338       97.7236938    
   5313.38574       99.9999695    
   5387.06934       99.9999695    
   5461.77148       99.9999695    
   5537.50977       99.9999695    
   5614.29834       102.329239    
   5692.15430       102.329239    
   5771.08740       102.329239    
   5851.11475       102.329239    
   5932.25537       104.712852    
   6014.51758       104.712852    
   6097.92041       104.712852    
   6182.47998       104.712852    
   6268.21582       107.151863    
   6355.13672       107.151863    
   6443.26318       107.151863    
   6532.61182       107.151863    
   6623.20264       109.647812    
   6715.04639       109.647812    
   6808.16357       109.647812    
   6902.57227       109.647812    
   6998.29346       109.647812    
   7095.33887       112.201775    
   7193.72949       112.201775    
   7293.48438       112.201775    
   7394.62695       112.201775    
   7497.16797       114.815346    
   7601.13086       114.815346    
   7706.53564       114.815346    
   7813.40576       114.815346    
   7921.75391       114.815346    
   8031.60449       117.489670    
   8142.97852       117.489670    
   8255.90137       117.489670    
   8370.38574       117.489670    
   8486.45703       117.489670    
   8604.14355       117.489670    
   8723.45703       120.226425    
   8844.42480       120.226425    
   8967.06934       120.226425    
   9091.42090       120.226425    
   9217.49121       120.226425    
   9345.30957       120.226425    
   9474.90039       123.026787    
   9606.29395       123.026787    
   9739.50391       123.026787    
   9874.56152       123.026787    
   10011.4912       123.026787    
   10150.3203       123.026787    
   10291.0742       125.892517    
   10433.7803       125.892517    
   10578.4648       125.892517    
   10725.1680       125.892517    
   10873.8936       125.892517    
   11024.6807       125.892517    
   11177.5596       125.892517    
   11332.5586       125.892517    
   11489.7061       128.824860    
   11649.0342       128.824860    
   11810.5830       128.824860    
   11974.3604       128.824860    
   12140.4082       128.824860    
   12308.7588       128.824860    
   12479.4434       128.824860    
   12652.4951       128.824860    
   12827.9473       131.825638    
   13005.8320       131.825638    
   13186.1973       131.825638    
   13369.0498       131.825638    
